Nodes;Addjested Nodes
392977928;{392977868,392977844,392977890,1274488801,}
392977930;{392977932,1274488751,}
392977932;{392978226,392977930,}
392977936;{1270373876,1270373995,392977839,}
392977938;{392977940,1274489020,}
392977940;{392977938,1274488872,}
392977941;{392977845,1274488780,392977838,1274488872,}
392977944;{1270373940,392977866,1274489080,}
392977953;{392977868,1274488897,1270373851,}
392977963;{1270373859,430034249,}
392977975;{2544680776,1360709361,2544789355,}
392977981;{392977636,392977638,}
392977986;{4747462816,1379644065,}
392977996;{392978928,392978042,}
392977997;{4747462802,1379644053,1201855345,}
392978003;{1379644073,392978004,}
392978004;{392978003,1256389747,}
392978010;{1256647920,1270373922,}
392978012;{3511997494,392978014,3511997507,}
392978013;{392978377,2414341615,1270373926,}
392978014;{392978012,2414341615,}
392978016;{392978048,392978525,392978532,3511996987,}
392978020;{1270373916,1270373954,}
392978022;{392978026,392977853,}
392978025;{392978026,1276802089,1276801920,}
392978026;{1276802081,392978025,392978022,}
392978028;{1276801955,392978950,1355470879,}
392978029;{1276801955,1276802105,}
392978030;{1276802105,1358033636,}
392978033;{2544680771,2544680774,}
392978034;{392978042,2544677740,}
392978040;{392978042,2544680771,}
392978042;{392977996,392978034,392978921,392978040,}
392978048;{2544677740,392978016,3271016963,}
392978054;{392978056,2544677741,}
392978056;{392978058,392978054,}
392978058;{2544680774,392978056,}
392978075;{392978080,1748642978,2158831085,}
392978076;{950061635,}
392978077;{2141538701,1747823531,}
392978078;{2141566542,2141566569,}
392978080;{392978084,392978075,2141566557,}
392978083;{1748226834,1468607699,1468607713,}
392978084;{392978373,392978080,1748804796,}
392978086;{4877939789,1293786658,}
392978087;{392978193,1293786769,}
392978088;{392977518,392977520,1748227232,}
392978090;{1748227231,}
392978094;{1748227070,392978184,}
392978098;{1748227025,1748227070,}
392978100;{392977521,1748227025,}
392978127;{1900216164,1293786797,}
392978128;{4747462804,549376946,1382545874,}
392978133;{392978184,392978134,1748227031,}
392978134;{392978133,}
392978136;{1748227031,3763389375,}
392978159;{392978189,392978160,}
392978160;{392978159,392978164,}
392978161;{4747462724,392978162,}
392978162;{392978161,1239956182,}
392978164;{392978160,392978165,}
392978165;{392978164,1748642834,}
392978179;{392978180,}
392978180;{392978179,4691137596,}
392978182;{392978186,392978184,}
392978184;{392978094,392978133,392978182,}
392978185;{392978191,392978186,}
392978186;{392978185,392978182,}
